代码,现价,涨跌,MA5,MA10,MA20,RSI,量比,评分
688443,31.13,-3.59,31.51,29.97,27.9,74.2,1.69,45
688466,17.33,-1.14,17.27,17.18,17.26,48.0,0.87,40
688433,81.25,-1.5,79.36,76.81,76.86,56.2,0.86,40
688506,298.39,-4.58,304.85,308.1,293.46,54.5,1.45,35
688435,42.41,-1.56,42.77,42.78,42.93,48.0,1.6,35
688496,5.67,-1.73,5.73,5.8,5.96,38.4,0.9,20
688472,13.21,-1.34,13.33,13.13,13.52,40.4,0.82,20
688426,20.14,-1.27,20.23,20.13,20.19,49.3,0.91,20
688410,15.75,-0.94,15.96,16.02,15.53,50.3,0.61,20
688505,7.88,-1.99,7.95,7.96,7.91,47.2,0.87,20
688468,7.22,-0.82,7.23,7.25,7.24,45.7,0.79,20
688425,4.85,0.0,4.87,4.92,4.96,48.7,0.46,20
688411,230.35,-1.7,234.25,227.81,246.04,25.1,0.66,0
